"filename", "language", "CSS", "XML", "JavaScript", "HTML", "JSON", "Markdown", "comment", "blank", "total"
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/src/assets/images/partnersIcon/fau-roskapstroj.svg", "XML", 0, 11, 0, 0, 0, 0, 0, 1, 12
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/src/assets/images/partnersIcon/lider-grupp.svg", "XML", 0, 14, 0, 0, 0, 0, 0, 1, 15
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/src/assets/images/partnersIcon/ogau-korporaciya-dom73.svg", "XML", 0, 18, 0, 0, 0, 0, 0, 1, 19
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/src/assets/images/partnersIcon/rks-novorossiya.svg", "XML", 0, 9, 0, 0, 0, 0, 0, 1, 10
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/src/assets/images/partnersIcon/setl-grupp.svg", "XML", 0, 18, 0, 0, 0, 0, 0, 1, 19
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/src/assets/images/partnersIcon/stroitelnaya-kompaniya-kvs.svg", "XML", 0, 5, 0, 0, 0, 0, 0, 1, 6
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/src/assets/images/visokayAgdezia.svg", "XML", 0, 7, 0, 0, 0, 0, 0, 1, 8
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/src/blocks/button/button-download.css", "CSS", 25, 0, 0, 0, 0, 0, 0, 5, 30
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/src/blocks/button/button-slider.css", "CSS", 27, 0, 0, 0, 0, 0, 0, 6, 33
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/src/blocks/button/button.css", "CSS", 64, 0, 0, 0, 0, 0, 0, 8, 72
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/src/blocks/button/footer-btn-download.css", "CSS", 20, 0, 0, 0, 0, 0, 0, 2, 22
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/src/blocks/catalog/1.catalog-header/catalog-header.css", "CSS", 4, 0, 0, 0, 0, 0, 0, 1, 5
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/src/blocks/catalog/2.catalog-products/catalog-products.css", "CSS", 175, 0, 0, 0, 0, 0, 2, 33, 210
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/src/blocks/catalog/2.catalog-products/list-grid.css", "CSS", 63, 0, 0, 0, 0, 0, 2, 12, 77
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/src/blocks/catalog/2.catalog-products/view-options.css", "CSS", 31, 0, 0, 0, 0, 0, 0, 5, 36
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/src/blocks/catalog/catalog.css", "CSS", 7, 0, 0, 0, 0, 0, 0, 3, 10
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/src/blocks/footer/footer.css", "CSS", 123, 0, 0, 0, 0, 0, 0, 23, 146
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/src/blocks/forms/contact-cta.css", "CSS", 67, 0, 0, 0, 0, 0, 0, 9, 76
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/src/blocks/header/header.css", "CSS", 72, 0, 0, 0, 0, 0, 0, 18, 90
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/src/blocks/index/1.start-section/start-section.css", "CSS", 114, 0, 0, 0, 0, 0, 1, 24, 139
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/src/blocks/index/2.popular-product/popular-product-section.css", "CSS", 3, 0, 0, 0, 0, 0, 0, 1, 4
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/src/blocks/index/2.popular-product/slider.css", "CSS", 132, 0, 0, 0, 0, 0, 0, 21, 153
